cluster,lon,lat,population,elevation,tower_height,coverage_km,path_loss,tx_power,x,y
0,-8.217307496673572,51.95031923452314,574.39195728302,88.0,34.4,2.6879999999999997,153.33492698298755,-23.334926982987554,,
1,-9.927289341514824,52.160439107033824,178.91900038719177,186.0,39.3,2.786,152.9088518494844,-22.908851849484392,,
2,-9.653008873661651,52.228882815179055,806.9682841300964,,,,,,,
3,-8.181829721497108,51.916041676439754,7384.550607681274,8.0,30.4,2.608,153.76613965208767,-23.766139652087674,,
4,-9.661602799685252,52.128820450109224,627.6228713989258,78.0,33.9,2.678,153.38423504128852,-23.38423504128852,,
5,-8.21608279819592,51.821205614694215,1970.3801171779633,67.0,33.35,2.667,153.43988838897698,-23.439888388976982,,
6,-8.20343781127302,52.13209746695526,1439.746771812439,111.0,35.55,2.711,153.22594600948352,-23.225946009483522,,
7,-8.106571391629327,52.221887918062215,250.3984146118164,,,,,,,
8,-8.190602627280771,52.22290772845889,221.03869450092316,,,,,,,
9,-8.180674057184076,52.31678365873844,173.65891766548157,,,,,,,
10,-8.161804140649636,52.30891711930372,588.1814165115356,,,,,,,
11,-8.739603387445422,51.953430396343876,416.55270195007324,161.0,38.05,2.761,153.00852278623879,-23.008522786238785,,
12,-8.813722913036532,51.95203460622196,830.6046562194824,143.0,37.15,2.743,153.08389440806238,-23.083894408062378,,
13,-8.45181834500748,51.98934669642725,695.6211242675781,131.0,36.55,2.731,153.13591712470372,-23.135917124703724,,
14,-8.390241770267966,52.035244656750415,756.2327647209167,133.0,36.65,2.733,153.12714517698876,-23.127145176988762,,
15,-8.451193235663418,51.94839694484156,4160.638155937195,109.0,35.45,2.709,153.23518579197608,-23.23518579197608,,
16,-8.83482502956443,51.72005848523744,987.4854516983032,78.0,33.9,2.678,153.38423504128852,-23.38423504128852,,
17,-8.951571536972379,51.724940745265194,925.3024053573608,65.0,33.25,2.665,153.45017053657799,-23.450170536577986,,
18,-8.753350508994561,51.72516165428178,859.5106391906738,60.0,33.0,2.66,153.4761003266185,-23.476100326618507,,
19,-8.953595143079003,52.31328507613187,366.79348850250244,,,,,,,
20,-8.81463539422151,52.12893616027157,2045.2592577934265,69.0,33.45,2.669,153.4296570159493,-23.42965701594929,,
21,-8.905880820436169,52.082617375580185,967.7933087348938,234.0,41.7,2.834,152.73241827358083,-22.732418273580834,,
22,-8.890151484444049,51.625690053871864,10252.601680755615,34.0,31.7,2.634,153.61630424571135,-23.616304245711348,,
23,-8.758976637629427,52.22007443343042,479.59588623046875,,,,,,,
24,-8.973694853164764,51.63171776391988,542.5037117004395,84.0,34.2,2.684,153.3545060177692,-23.35450601776921,,
25,-8.92904805071179,52.267902003193335,115.88208675384521,,,,,,,
26,-8.908294851363145,52.1751188675277,3838.5682764053345,85.0,34.25,2.685,153.34959337519567,-23.349593375195667,,
27,-8.806465359363425,52.31385850531218,803.2792158126831,,,,,,,
28,-8.813876641322853,52.2668351124636,1219.6060590744019,,,,,,,
29,-8.80399479849518,51.77486937733378,397.6631374359131,153.0,37.65,2.753,153.04163572689413,-23.04163572689413,,
30,-8.9055718688503,52.234322715872054,251.53585577011108,,,,,,,
31,-8.524977786310156,51.71654065856735,3162.8575010299683,80.0,34.0,2.68,153.37427687577846,-23.374276875778463,,
32,-8.397839733430619,52.31080061604832,588.634176492691,,,,,,,
33,-8.441107953382161,52.21868670452431,421.13934659957886,,,,,,,
34,-8.536960854181968,52.0819364417472,397.1821553707123,249.0,42.45,2.849,152.68098142042882,-22.68098142042882,,
35,-8.53866114284324,52.36677586963641,202.3712797164917,,,,,,,
36,-8.292130824111405,52.2201211301359,735.3563413619995,,,,,,,
37,-8.283868929395128,52.079892959592854,3086.309175014496,54.0,32.7,2.654,153.50764559572713,-23.507645595727126,,
38,-9.418767385083592,51.63874534217807,284.76558017730713,107.0,35.35,2.707,153.24446975954467,-23.24446975954467,,
39,-9.311621207130552,51.631814058869125,320.60407066345215,75.0,33.75,2.675,153.39926412686032,-23.399264126860317,,
40,-8.451103652388175,52.173747998785814,801.2752289772034,69.0,33.45,2.669,153.4296570159493,-23.42965701594929,,
41,-8.551289692418376,52.13121795273368,321.7697949409485,277.0,43.85,2.877,152.58929063857232,-22.589290638572322,,
42,-9.790709213861012,51.94844851784061,24.796717286109924,427.0,51.35,3.027,152.17926973492501,-22.179269734925015,,
43,-9.887752203420417,52.07099901650914,554.0361704826355,41.0,32.05,2.641,153.57764621458836,-23.577646214588356,,
45,-9.777869880166842,52.32004800655403,2250.0969414711,,,,,,,
46,-9.893713188891937,51.837974764019606,788.1271628141403,23.0,31.15,2.623,153.67846858399116,-23.67846858399116,,
47,-8.156985273147306,51.84089551648561,1898.7054314613342,30.0,31.5,2.63,153.638706599292,-23.638706599291993,,
48,-9.611301843586894,51.611556671899734,375.14338994026184,47.0,32.35,2.6470000000000002,153.54505299640587,-23.54505299640587,,
49,-9.894616446189241,51.65594869432599,1918.3619973659515,51.0,32.55,2.651,153.52359678404613,-23.523596784046134,,
50,-9.784341973512426,51.859129837384046,60.927212715148926,157.0,37.85,2.757,153.02500324458725,-23.025003244587253,,
51,-8.568510728866892,52.01346557328741,471610.3555598408,161.0,38.05,2.761,153.00852278623879,-23.008522786238785,,
